"","iso_a3","name_en","cadc.type","usd.comm.ctry.cadc","usd.disb.ctry.cadc","tot.usd.comm.ctry","tot.usd.disb.ctry","perc.cumsum.comm","perc.cumsum.disb"
"52","IRQ","Iraq","equity CADC",4.28,5.44,728.5,816.25,0.654948979933424,0.607287042695815
"53","IRQ","Iraq","other CADC",308.59,616.57,728.5,816.25,0.654948979933424,0.607287042695815
"54","IRQ","Iraq","other ocean economy",415.63,194.24,728.5,816.25,0.654948979933424,0.607287042695815
"55","CIV","Ivory Coast","equity CADC",145.86,22.49,720.15,203.08,0.67050217947807,0.613622516450924
"56","CIV","Ivory Coast","other CADC",432.3,51.33,720.15,203.08,0.67050217947807,0.613622516450924
"57","CIV","Ivory Coast","other ocean economy",141.99,129.26,720.15,203.08,0.67050217947807,0.613622516450924
"58","SEN","Senegal","equity CADC",120.12,50.23,650.26,307.28,0.684545953047328,0.623208710933247
"59","SEN","Senegal","other CADC",174.41,88.55,650.26,307.28,0.684545953047328,0.623208710933247
"60","SEN","Senegal","other ocean economy",355.73,168.5,650.26,307.28,0.684545953047328,0.623208710933247
"61","LKA","Sri Lanka","equity CADC",174.32,157.2,565.52,497.27,0.696759582716824,0.63872201127894
"62","LKA","Sri Lanka","other CADC",334.85,217.78,565.52,497.27,0.696759582716824,0.63872201127894
"63","LKA","Sri Lanka","other ocean economy",56.35,122.29,565.52,497.27,0.696759582716824,0.63872201127894
"64","PNG","Papua New Guinea","equity CADC",150.08,114.86,547.42,560.19,0.708582303670417,0.656198222835346
"65","PNG","Papua New Guinea","other CADC",97.45,102.5,547.42,560.19,0.708582303670417,0.656198222835346
"66","PNG","Papua New Guinea","other ocean economy",299.89,342.83,547.42,560.19,0.708582303670417,0.656198222835346
"67","MEX","Mexico","equity CADC",374.65,343.05,477.03,388.34,0.71888480006531,0.668313240946727
"68","MEX","Mexico","other CADC",84.47,42.88,477.03,388.34,0.71888480006531,0.668313240946727
"69","MEX","Mexico","other ocean economy",17.91,2.41,477.03,388.34,0.71888480006531,0.668313240946727
"70","GHA","Ghana","equity CADC",72.7,71.35,475.32,263.11,0.729150365305275,0.67652146676762
"71","GHA","Ghana","other CADC",198.2,91.51,475.32,263.11,0.729150365305275,0.67652146676762
"72","GHA","Ghana","other ocean economy",204.42,100.25,475.32,263.11,0.729150365305275,0.67652146676762
"73","MDV","Maldives","equity CADC",127.23,25.14,428.74,155.11,0.73840993452387,0.681360423504645
"74","MDV","Maldives","other CADC",158.55,101.45,428.74,155.11,0.73840993452387,0.681360423504645
"75","MDV","Maldives","other ocean economy",142.96,28.52,428.74,155.11,0.73840993452387,0.681360423504645
"76","TUN","Tunisia","equity CADC",28.47,59.31,421.47,429.13,0.747512492341105,0.694747964633906
"77","TUN","Tunisia","other CADC",323.09,352.66,421.47,429.13,0.747512492341105,0.694747964633906
"78","TUN","Tunisia","other ocean economy",69.91,17.16,421.47,429.13,0.747512492341105,0.694747964633906
"79","SOM","Somalia","equity CADC",43.34,18.08,414.16,312.12,0.756457174870314,0.704485152286283
"80","SOM","Somalia","other CADC",5.06,8.3,414.16,312.12,0.756457174870314,0.704485152286283
"81","SOM","Somalia","other ocean economy",365.76,285.74,414.16,312.12,0.756457174870314,0.704485152286283
"82","PER","Peru","equity CADC",109.13,155.45,404.41,329.08,0.765191285024935,0.714751439972572
"83","PER","Peru","other CADC",278.88,159.58,404.41,329.08,0.765191285024935,0.714751439972572
"84","PER","Peru","other ocean economy",16.4,14.05,404.41,329.08,0.765191285024935,0.714751439972572
"85","COD","Democratic Republic of the Congo","equity CADC",60.21,27.29,364.89,374.36,0.773071875154555,0.726430324919208
"86","COD","Democratic Republic of the Congo","other CADC",259.16,219.15,364.89,374.36,0.773071875154555,0.726430324919208
"87","COD","Democratic Republic of the Congo","other ocean economy",45.52,127.92,364.89,374.36,0.773071875154555,0.726430324919208
"88","GEO","Georgia","equity CADC",116.11,89.83,351.7,233.12,0.780667598656397,0.733702954630608
"89","GEO","Georgia","other CADC",233.04,102.71,351.7,233.12,0.780667598656397,0.733702954630608
"90","GEO","Georgia","other ocean economy",2.55,40.58,351.7,233.12,0.780667598656397,0.733702954630608
"91","BRA","Brazil","equity CADC",172.69,158,339,307.16,0.787989038142108,0.743285405480615
"92","BRA","Brazil","other CADC",157.26,140.4,339,307.16,0.787989038142108,0.743285405480615
"93","BRA","Brazil","other ocean economy",9.05,8.76,339,307.16,0.787989038142108,0.743285405480615
"94","BEN","Benin","equity CADC",69.84,43.96,336.9,340.38,0.795265123577908,0.753904218543272
"95","BEN","Benin","other CADC",98.2,59.53,336.9,340.38,0.795265123577908,0.753904218543272
"96","BEN","Benin","other ocean economy",168.86,236.89,336.9,340.38,0.795265123577908,0.753904218543272
"97","YEM","Yemen","equity CADC",123.95,79.47,336.3,260.63,0.802528250713732,0.762035075962979
"98","YEM","Yemen","other CADC",75.09,88.66,336.3,260.63,0.802528250713732,0.762035075962979
"99","YEM","Yemen","other ocean economy",137.26,92.5,336.3,260.63,0.802528250713732,0.762035075962979
"100","MRT","Mauritania","equity CADC",139.42,69.09,332.62,240.89,0.809711900276379,0.769550105866802
"101","MRT","Mauritania","other CADC",102.26,94.51,332.62,240.89,0.809711900276379,0.769550105866802
"102","MRT","Mauritania","other ocean economy",90.94,77.29,332.62,240.89,0.809711900276379,0.769550105866802
"103","SLB","Solomon Islands","equity CADC",98.93,51.31,303.1,221.61,0.81625800148027,0.776463658845283
"104","SLB","Solomon Islands","other CADC",147.54,111.32,303.1,221.61,0.81625800148027,0.776463658845283
"105","SLB","Solomon Islands","other ocean economy",56.63,58.98,303.1,221.61,0.81625800148027,0.776463658845283
"106","PAK","Pakistan","equity CADC",33.95,25.07,287.62,112.96,0.822469778544813,0.779987664731521
"107","PAK","Pakistan","other CADC",103.1,43.47,287.62,112.96,0.822469778544813,0.779987664731521
"108","PAK","Pakistan","other ocean economy",150.57,44.42,287.62,112.96,0.822469778544813,0.779987664731521
"109","HTI","Haiti","equity CADC",89.72,50.88,281.37,227.98,0.828546573317953,0.787099942192078
"110","HTI","Haiti","other CADC",107.14,98.22,281.37,227.98,0.828546573317953,0.787099942192078
"111","HTI","Haiti","other ocean economy",84.51,78.88,281.37,227.98,0.828546573317953,0.787099942192078
"112","ALB","Albania","equity CADC",40.85,29.06,278.29,300.32,0.83455684881789,0.796469006000107
"113","ALB","Albania","other CADC",234.61,239.9,278.29,300.32,0.83455684881789,0.796469006000107
"114","ALB","Albania","other ocean economy",2.83,31.36,278.29,300.32,0.83455684881789,0.796469006000107
"115","BIH","Bosnia and Herzegovina","equity CADC",25.43,75.97,276.01,284.32,0.840517882777923,0.805338918832748
"116","BIH","Bosnia and Herzegovina","other CADC",248.46,192.79,276.01,284.32,0.840517882777923,0.805338918832748
"117","BIH","Bosnia and Herzegovina","other ocean economy",2.12,15.56,276.01,284.32,0.840517882777923,0.805338918832748
"118","DJI","Djibouti","equity CADC",0.44,5.8,266.81,200.88,0.84628022280501,0.811605759328742
"119","DJI","Djibouti","other CADC",35.2,35.19,266.81,200.88,0.84628022280501,0.811605759328742
"120","DJI","Djibouti","other ocean economy",231.17,159.89,266.81,200.88,0.84628022280501,0.811605759328742
"121","NGA","Nigeria","equity CADC",26.82,41.19,261.44,192.21,0.851926586047323,0.817602122389947
"122","NGA","Nigeria","other CADC",227.79,121.99,261.44,192.21,0.851926586047323,0.817602122389947
"123","NGA","Nigeria","other ocean economy",6.83,29.03,261.44,192.21,0.851926586047323,0.817602122389947
"124","ECU","Ecuador","equity CADC",46.63,24.24,250.78,243.48,0.857342723493419,0.825197952357911
"125","ECU","Ecuador","other CADC",142.99,157.22,250.78,243.48,0.857342723493419,0.825197952357911
"126","ECU","Ecuador","other ocean economy",61.16,62.02,250.78,243.48,0.857342723493419,0.825197952357911
"127","WSM","Samoa","equity CADC",73.92,17.56,250.73,178.47,0.862757781081184,0.830765669519003
"128","WSM","Samoa","other CADC",94.18,85.26,250.73,178.47,0.862757781081184,0.830765669519003
"129","WSM","Samoa","other ocean economy",82.63,75.65,250.73,178.47,0.862757781081184,0.830765669519003
"130","COL","Colombia","equity CADC",194.11,156.22,249.17,208.95,0.868139147089015,0.837284269288208
"131","COL","Colombia","other CADC",35.92,38.6,249.17,208.95,0.868139147089015,0.837284269288208
"132","COL","Colombia","other ocean economy",19.14,14.13,249.17,208.95,0.868139147089015,0.837284269288208
"133","MUS","Mauritius","equity CADC",2.22,29.2,244.64,185.06,0.873422677932037,0.843057574257287
"134","MUS","Mauritius","other CADC",150.69,58.97,244.64,185.06,0.873422677932037,0.843057574257287
"135","MUS","Mauritius","other ocean economy",91.73,96.89,244.64,185.06,0.873422677932037,0.843057574257287
"136","CRI","Costa Rica","equity CADC",204.57,13.49,229.93,36.28,0.878388514454012,0.844189399093978
"137","CRI","Costa Rica","other CADC",23.9,20.82,229.93,36.28,0.878388514454012,0.844189399093978
