"","iso_a3","name_en","cadc.type","usd.comm.ctry.cadc","usd.disb.ctry.cadc","tot.usd.comm.ctry","tot.usd.disb.ctry","perc.cumsum.comm","perc.cumsum.disb"
"267","PAN","Panama","equity CADC",1.75,2.36,41.43,85.36,0.991639088884651,0.986511692767583
"268","PAN","Panama","other CADC",32.14,75.34,41.43,85.36,0.991639088884651,0.986511692767583
"269","PAN","Panama","other ocean economy",7.54,7.66,41.43,85.36,0.991639088884651,0.986511692767583
"270","GMB","The Gambia","equity CADC",10.48,5.69,36.9,38.93,0.992436024333096,0.987726189484574
"271","GMB","The Gambia","other CADC",24.23,13.24,36.9,38.93,0.992436024333096,0.987726189484574
"272","GMB","The Gambia","other ocean economy",2.19,20,36.9,38.93,0.992436024333096,0.987726189484574
"273","BLZ","Belize","equity CADC",1.82,1.51,35.76,18.06,0.993208339011588,0.988289606148043
"274","BLZ","Belize","other CADC",20.02,15.96,35.76,18.06,0.993208339011588,0.988289606148043
"275","BLZ","Belize","other ocean economy",13.92,0.59,35.76,18.06,0.993208339011588,0.988289606148043
"276","HRV","Croatia","equity CADC",1.3,2.15,30.71,7.52,0.993871587998627,0.988524207106475
"277","HRV","Croatia","other CADC",29.39,5.35,30.71,7.52,0.993871587998627,0.988524207106475
"278","HRV","Croatia","other ocean economy",0.02,0.02,30.71,7.52,0.993871587998627,0.988524207106475
"279","GTM","Guatemala","equity CADC",2.81,11.3,29.29,38.2,0.994504169009059,0.989715930060213
"280","GTM","Guatemala","other CADC",21.64,23.48,29.29,38.2,0.994504169009059,0.989715930060213
"281","GTM","Guatemala","other ocean economy",4.84,3.42,29.29,38.2,0.994504169009059,0.989715930060213
"282","COM","Comoros","equity CADC",0.28,0.28,29.14,25.4,0.995133510444498,0.990508332233641
"283","COM","Comoros","other CADC",20.54,16.84,29.14,25.4,0.995133510444498,0.990508332233641
"284","COM","Comoros","other ocean economy",8.32,8.28,29.14,25.4,0.995133510444498,0.990508332233641
"285","WLF","Wallis and Futuna","equity CADC",0,5.09,28.32,29.07,0.995745142203304,0.991415227162049
"286","WLF","Wallis and Futuna","other CADC",0.82,10.3,28.32,29.07,0.995745142203304,0.991415227162049
"287","WLF","Wallis and Futuna","other ocean economy",27.5,13.68,28.32,29.07,0.995745142203304,0.991415227162049
"288","CHL","Chile","equity CADC",1.7,2.22,25.65,49.28,0.996299109527223,0.992952612166243
"289","CHL","Chile","other CADC",20.46,43.22,25.65,49.28,0.996299109527223,0.992952612166243
"290","CHL","Chile","other ocean economy",3.49,3.84,25.65,49.28,0.996299109527223,0.992952612166243
"291","NIU","Niue","equity CADC",1.58,2.66,24.3,19.77,0.996823920676199,0.993569375590207
"292","NIU","Niue","other CADC",13.25,7.67,24.3,19.77,0.996823920676199,0.993569375590207
"293","NIU","Niue","other ocean economy",9.47,9.44,24.3,19.77,0.996823920676199,0.993569375590207
"294","VCT","Saint Vincent and the Grenadines","equity CADC",1.39,1.3,22.9,18.85,0.9973184957919,0.994157437833086
"295","VCT","Saint Vincent and the Grenadines","other CADC",17.31,8.99,22.9,18.85,0.9973184957919,0.994157437833086
"296","VCT","Saint Vincent and the Grenadines","other ocean economy",4.2,8.56,22.9,18.85,0.9973184957919,0.994157437833086
"297","GRD","Grenada","equity CADC",0.54,0.59,17.65,26.35,0.997699685782823,0.994979477095678
"298","GRD","Grenada","other CADC",15.09,12.75,17.65,26.35,0.997699685782823,0.994979477095678
"299","GRD","Grenada","other ocean economy",2.02,13.01,17.65,26.35,0.997699685782823,0.994979477095678
"300","SWZ","Eswatini","equity CADC",0.98,1.13,15.94,1.92,0.998043944618818,0.995039375212724
"301","SWZ","Eswatini","other CADC",14.96,0.68,15.94,1.92,0.998043944618818,0.995039375212724
"302","SWZ","Eswatini","other ocean economy",0,0.11,15.94,1.92,0.998043944618818,0.995039375212724
"303","DMA","Dominica","equity CADC",2.45,0.27,15.74,17.52,0.998383884021487,0.995585945530774
"304","DMA","Dominica","other CADC",4.57,8.97,15.74,17.52,0.998383884021487,0.995585945530774
"305","DMA","Dominica","other ocean economy",8.72,8.28,15.74,17.52,0.998383884021487,0.995585945530774
"306","LCA","Saint Lucia","equity CADC",1.36,1.33,15.58,14.05,0.998720367877497,0.996024262481036
"307","LCA","Saint Lucia","other CADC",9.03,6.39,15.58,14.05,0.998720367877497,0.996024262481036
"308","LCA","Saint Lucia","other ocean economy",5.19,6.33,15.58,14.05,0.998720367877497,0.996024262481036
"309","ATG","Antigua and Barbuda","equity CADC",0.97,0.96,12.66,24.71,0.998993788006964,0.996795138768651
"310","ATG","Antigua and Barbuda","other CADC",8.9,7.64,12.66,24.71,0.998993788006964,0.996795138768651
"311","ATG","Antigua and Barbuda","other ocean economy",2.79,16.11,12.66,24.71,0.998993788006964,0.996795138768651
"312","SUR","Suriname","equity CADC",6.05,9.39,12.49,26.11,0.999263536618104,0.997609690766612
"313","SUR","Suriname","other CADC",2.46,2.06,12.49,26.11,0.999263536618104,0.997609690766612
"314","SUR","Suriname","other ocean economy",3.98,14.66,12.49,26.11,0.999263536618104,0.997609690766612
"315","KNA","Saint Kitts and Nevis","other CADC",0.69,0.04,10.6,1.06,0.999492466584324,0.997642759518731
"316","KNA","Saint Kitts and Nevis","other ocean economy",9.91,1.02,10.6,1.06,0.999492466584324,0.997642759518731
"317","IRN","Iran","equity CADC",5.62,11.07,8.25,13.58,0.999670643208976,0.998066413909092
"318","IRN","Iran","other CADC",2.2,2.08,8.25,13.58,0.999670643208976,0.998066413909092
"319","IRN","Iran","other ocean economy",0.43,0.43,8.25,13.58,0.999670643208976,0.998066413909092
"320","URY","Uruguay","equity CADC",1.33,1.37,3.99,4.8,0.999756815903808,0.998216159201708
"321","URY","Uruguay","other CADC",1.34,2.12,3.99,4.8,0.999756815903808,0.998216159201708
"322","URY","Uruguay","other ocean economy",1.32,1.31,3.99,4.8,0.999756815903808,0.998216159201708
"323","OMN","Oman","other CADC",0.15,0.15,3.89,11.08,0.999840828881977,0.998561821252164
"324","OMN","Oman","other ocean economy",3.74,10.93,3.89,11.08,0.999840828881977,0.998561821252164
"325","GNQ","Equatorial Guinea","equity CADC",0.05,0.05,3.1,4.57,0.999907780098513,0.998704391249509
"326","GNQ","Equatorial Guinea","other CADC",1.74,2.12,3.1,4.57,0.999907780098513,0.998704391249509
"327","GNQ","Equatorial Guinea","other ocean economy",1.31,2.4,3.1,4.57,0.999907780098513,0.998704391249509
"328","PRK","North Korea","other CADC",2.46,26.44,2.92,26.9,0.999970843825057,0.99954358882688
"329","PRK","North Korea","other ocean economy",0.46,0.46,2.92,26.9,0.999970843825057,0.99954358882688
"330","VEN","Venezuela","equity CADC",0.03,0.03,1.28,14.36,0.999998488198336,0.99999157682729
"331","VEN","Venezuela","other CADC",1.23,13.8,1.28,14.36,0.999998488198336,0.99999157682729
"332","VEN","Venezuela","other ocean economy",0.02,0.53,1.28,14.36,0.999998488198336,0.99999157682729
"333","BRB","Barbados","other CADC",0.06,0.06,0.06,0.06,0.999999784028334,0.999993448643448
"334","BRB","Barbados","other ocean economy",0,0,0.06,0.06,0.999999784028334,0.999993448643448
"335","TTO","Trinidad and Tobago","other CADC",0.01,0.05,0.01,0.05,1,0.999995008490246
"336","AIA","Anguilla","other CADC",0,0,0,0.16,1,1
"337","AIA","Anguilla","other ocean economy",0,0.16,0,0.16,1,1
